Date,Monthly,3m on 3m ,Average store price
1997 Jan,68.8,68.7,82.9
1997 Feb,69.1,68.7,83.4
1997 Mar,69.9,69.3,83.7
1997 Apr,70.5,69.8,83.8
1997 May,70.3,70.2,84.2
1997 Jun,70.8,70.5,84.4
1997 Jul,70.9,70.7,83.7
1997 Aug,70.3,70.7,84.5
1997 Sep,70.1,70.4,84.9
1997 Oct,71.4,70.6,84.9
1997 Nov,71.2,70.9,85
1997 Dec,72.1,71.6,85
1998 Jan,72,71.8,83.9
1998 Feb,71.7,71.9,84.6
1998 Mar,71.6,71.7,84.9
1998 Apr,71.6,71.6,85.5
1998 May,72.3,71.8,86.2
1998 Jun,71.2,71.6,85.9
1998 Jul,71.9,71.7,85
1998 Aug,72.3,71.7,85.6
1998 Sep,72.2,72.1,86.2
1998 Oct,71.7,72.1,85.9
1998 Nov,71.9,71.9,85.9
1998 Dec,71.4,71.7,86.3
1999 Jan,72.4,71.9,85.1
1999 Feb,72.1,71.9,85.5
1999 Mar,72.3,72.3,86.2
1999 Apr,72.4,72.3,86.5
1999 May,73.3,72.6,86.8
1999 Jun,73.6,73.1,86.6
1999 Jul,73.4,73.5,85.6
1999 Aug,73.8,73.6,86.1
1999 Sep,73.7,73.6,86.6
1999 Oct,74.1,73.8,86.2
1999 Nov,74.5,74.0,86.4
1999 Dec,74.6,74.4,86.5
2000 Jan,76.5,75.2,85.3
2000 Feb,75.3,75.4,86
2000 Mar,75.3,75.7,86.2
2000 Apr,77,75.8,86.9
2000 May,75.9,76.0,87
2000 Jun,75.6,76.1,87.2
2000 Jul,75.4,75.6,86.2
2000 Aug,76.6,75.8,86.2
2000 Sep,76.5,76.2,87.2
2000 Oct,76.9,76.7,86.8
2000 Nov,76.9,76.8,87.2
2000 Dec,76.9,76.9,86.7
2001 Jan,78.2,77.3,85.3
2001 Feb,79.2,78.0,85
2001 Mar,78.9,78.8,85.3
2001 Apr,79.4,79.2,85.3
2001 May,80.8,79.6,86.3
2001 Jun,80.3,80.2,86.4
2001 Jul,81.1,80.7,84.8
2001 Aug,80.9,80.7,85.1
2001 Sep,81.6,81.2,86
2001 Oct,82.1,81.6,85.3
2001 Nov,82.8,82.1,84.9
2001 Dec,83.5,82.9,84.9
2002 Jan,83.4,83.3,84
2002 Feb,84.5,83.8,84.1
2002 Mar,85.2,84.4,84.6
2002 Apr,86.5,85.4,84.7
2002 May,85.8,85.8,84.7
2002 Jun,84.3,85.4,84
2002 Jul,85.8,85.2,83.1
2002 Aug,85.8,85.2,83.2
2002 Sep,85.8,85.8,84.1
2002 Oct,86.3,86.0,84.1
2002 Nov,86.8,86.3,83.9
2002 Dec,86.7,86.6,83.8
2003 Jan,86.2,86.6,83.3
2003 Feb,86.3,86.4,84.2
2003 Mar,86.9,86.5,84.8
2003 Apr,87.4,86.9,84.2
2003 May,86.8,87.0,84
2003 Jun,87.9,87.4,83.5
2003 Jul,88.3,87.7,82.9
2003 Aug,88.4,88.2,83.5
2003 Sep,89,88.6,84
2003 Oct,89.3,88.9,84
2003 Nov,89.1,89.1,84.1
2003 Dec,89.8,89.4,83.8
2004 Jan,91.1,90.0,83.2
2004 Feb,90.7,90.5,83.4
2004 Mar,91.5,91.1,83.6
2004 Apr,92.1,91.4,83.7
2004 May,92.1,91.9,84.2
2004 Jun,92.9,92.4,83.8
2004 Jul,92.9,92.7,82.7
2004 Aug,93.2,93.0,83.2
2004 Sep,93.8,93.3,83.7
2004 Oct,93.7,93.6,84.2
2004 Nov,93.4,93.6,84.1
2004 Dec,92.7,93.2,83.7
2005 Jan,93.1,93.0,82.8
2005 Feb,93.2,93.0,83.3
2005 Mar,92.9,93.1,83.9
2005 Apr,92.8,93.0,84
2005 May,92.8,92.8,84
2005 Jun,93.5,93.0,84.2
2005 Jul,93.4,93.2,83.6
2005 Aug,92.6,93.2,84
2005 Sep,92.9,92.9,84.8
2005 Oct,93.2,92.9,84.4
2005 Nov,94,93.3,84.3
2005 Dec,93.6,93.6,84
2006 Jan,94.7,94.1,83.4
2006 Feb,94.7,94.3,83.9
2006 Mar,95.2,94.9,83.9
2006 Apr,95.5,95.2,84
2006 May,95.9,95.5,84.9
2006 Jun,96.2,95.9,85.1
2006 Jul,96.3,96.2,84.5
2006 Aug,96.1,96.2,85.2
2006 Sep,95.8,96.1,85.3
2006 Oct,96.8,96.2,84.5
2006 Nov,97,96.5,84.7
2006 Dec,97.5,97.2,84.9
2007 Jan,96.8,97.1,83.6
2007 Feb,98.3,97.5,84.1
2007 Mar,98.7,98.0,84.9
2007 Apr,99.4,98.8,85.4
2007 May,98.6,98.9,85.8
2007 Jun,98.8,98.9,86.1
2007 Jul,99.2,98.9,84.6
2007 Aug,99.5,99.1,85
2007 Sep,99.7,99.5,85.6
2007 Oct,98.9,99.4,86.2
2007 Nov,99.1,99.3,86.8
2007 Dec,98.6,98.8,87
2008 Jan,99.4,99.0,86.4
2008 Feb,100.6,99.4,87
2008 Mar,99.5,99.8,87.6
2008 Apr,98.9,99.6,88.5
2008 May,101.6,99.9,89.5
2008 Jun,98.1,99.4,90.7
2008 Jul,98,99.1,90.2
2008 Aug,98.3,98.1,90.2
2008 Sep,98.3,98.2,90.6
2008 Oct,97.8,98.1,89.6
2008 Nov,98,98.0,89
2008 Dec,98.4,98.1,87.1
2009 Jan,99.5,98.6,86.4
2009 Feb,97,98.3,87.9
2009 Mar,98,98.2,88.2
2009 Apr,99.2,98.1,88.5
2009 May,98.6,98.5,89.2
2009 Jun,99.7,99.2,89.7
2009 Jul,99.6,99.3,88.7
2009 Aug,99.9,99.7,89.3
2009 Sep,99.8,99.8,89.9
2009 Oct,100.2,99.9,89.9
2009 Nov,99.6,99.9,90.4
2009 Dec,98.9,99.5,90.5
2010 Jan,96,98.2,90.2
2010 Feb,98.4,97.8,90.8
2010 Mar,98,97.5,91.8
2010 Apr,98.4,98.2,92.5
2010 May,98.7,98.3,92.7
2010 Jun,99,98.7,92.4
2010 Jul,99.4,99.0,91.3
2010 Aug,99.4,99.2,92
2010 Sep,98.4,99.0,92.9
2010 Oct,99,98.9,93.1
2010 Nov,99,98.8,93.8
2010 Dec,96.5,98.0,94.1
2011 Jan,99,98.0,94.2
2011 Feb,98.3,97.8,95.6
2011 Mar,97.6,98.2,96
2011 Apr,100,98.5,96.7
2011 May,97.4,98.3,97.3
2011 Jun,97.7,98.3,97.1
2011 Jul,97.9,97.6,96.6
2011 Aug,97.7,97.7,97.3
2011 Sep,98,97.9,98.3
2011 Oct,99,98.2,98.1
2011 Nov,98.6,98.5,98.3
2011 Dec,98.8,98.8,97.8
2012 Jan,99.2,98.9,97.2
2012 Feb,98.5,98.8,98.6
2012 Mar,99.7,99.2,99.2
2012 Apr,97.7,98.7,99.3
2012 May,98.4,98.7,99
2012 Jun,99.1,98.5,97.8
2012 Jul,99.2,98.9,97.2
2012 Aug,99.3,99.2,98.1
2012 Sep,99.7,99.4,99.5
2012 Oct,99,99.3,99.5
2012 Nov,98.4,99.1,99.5
2012 Dec,98.7,98.7,99.4
2013 Jan,97.8,98.3,98.8
2013 Feb,98.7,98.4,99.9
2013 Mar,98.9,98.5,100.3
2013 Apr,97.5,98.4,100.1
2013 May,100,98.8,100.1
2013 Jun,100.5,99.4,99.6
2013 Jul,101.4,100.6,99.1
2013 Aug,100.6,100.8,99.9
2013 Sep,101.5,101.2,100.6
2013 Oct,100,100.8,100.5
2013 Nov,99.6,100.5,100.4
2013 Dec,102.6,100.9,100.5
2014 Jan,101,101.1,99.2
2014 Feb,101.8,101.8,99.9
2014 Mar,102.8,101.9,100.2
2014 Apr,104,102.8,99.8
2014 May,103.5,103.4,99.7
2014 Jun,104.2,103.9,99.8
2014 Jul,104,103.9,98.6
2014 Aug,104.5,104.2,99
2014 Sep,103.7,104.0,99.4
2014 Oct,105,104.3,99.2
2014 Nov,106.3,104.9,98.7
2014 Dec,107.3,106.3,98.4
2015 Jan,107.3,107.0,96.1
2015 Feb,106.9,107.1,96.4
2015 Mar,107.4,107.2,97
2015 Apr,108.1,107.4,96.7
2015 May,107.8,107.7,97.1
2015 Jun,108.4,108.1,96.9
2015 Jul,108.4,108.2,95.7
2015 Aug,107.9,108.2,95.7
2015 Sep,110.2,108.9,95.8
2015 Oct,109.2,109.2,95.9
2015 Nov,110.6,110.0,95.6
2015 Dec,109.8,109.9,95.3
2016 Jan,112.6,110.9,93.7
2016 Feb,111.4,111.2,94
2016 Mar,111.2,111.7,94.1
2016 Apr,112.4,111.7,94.2
2016 May,113.7,112.4,94.3
2016 Jun,112.5,112.8,94.5
2016 Jul,114.6,113.5,93.8
2016 Aug,114.9,113.9,94
2016 Sep,114.7,114.7,94.9
2016 Oct,117.2,115.5,95.2
2016 Nov,116.9,116.2,95.8
2016 Dec,114.4,116.1,96.2
2017 Jan,113.8,115.0,95.4
2017 Feb,115.5,114.6,96.6